Бренд;Коллекция;Категория;categoryId;Тип соединения;Фаска;Порода дерева;Селекция;Тон;Конструкция;Разновидность
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Бежевый;Двухслойная (дуб+фанера);Английская
Coswick;Белые ночи;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;Светлый;;Модульный паркет
Coswick;Дизайнерские решения;Паркетная доска;20005;шип-паз;;Дуб;Черектер;;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Кантри;Натуральный;Двухслойная (дуб+дуб);
Техномассив;Authentica;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Прайм;Натуральный;Трехслойная (дуб+дуб+дуб);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Pergo;Namsen pro;Виниловый ламинат;20009;замковое соединение;четырехсторонняя;;;Бежевый;;Монсоро
Royal Parket;Angle;Паркет елка;265;шип-паз;четырехсторонняя;Дуб;Натур;Светлый;Двухслойная (дуб+фанера);Английская
Coswick;Натуральная палитра;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Селект энд Бэттер;;Трехслойная(дуб+береза+береза);Английская
Coswick;Оттенки серого;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;1 Коммон;;;
Alpine Floor;Grand Sequoia Superior;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Norland;Sigrid Plus;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Ensten;Hygge;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Coswick;Натуральная палитра;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Таверн;;;Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+фанера);Французская
Royal Parket;Authentica;Инженерная доска;263;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+фанера);
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Бежевый;Двухслойная (дуб+фанера);Английская
Coswick;Белые ночи;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;Светлый;;Модульный паркет
Coswick;Дизайнерские решения;Паркетная доска;20005;шип-паз;;Дуб;Черектер;;;
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+дуб);
Техномассив;Authentica;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Прайм;Светлый;Трехслойная (дуб+дуб+дуб);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Светлый;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Светлый;Двухслойная (дуб+фанера);Французская
Royal Parket;Angle;Паркет елка;265;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Английская
Coswick;Оттенки серого;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Селект энд Бэттер;Серый;Трехслойная(дуб+береза+береза);Английская
Coswick;Таинственный лес;Паркет елка;20014;G&G;четырехсторонняя;Дуб;Таверн;;;Английская
Coswick;Дизайнерские решения;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;1 Коммон;;;
Alpine Floor;Grand Sequoia Superior;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Norland;Sigrid Plus;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Ensten;Valland Parquet;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;Английская
Coswick;Таинственный лес;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Таверн;;;Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Коричневый;Двухслойная (дуб+фанера);Французская
Royal Parket;Authentica;Инженерная доска;263;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Рустик;Бежевый;Двухслойная (дуб+фанера);Английская
Coswick;Белые ночи;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;Светлый;;Модульный паркет
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+дуб);
Lab Arte;Authentica;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Рустик;Темный;Двухслойная (дуб+фанера);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Бежевый;Двухслойная (дуб+фанера);Французская
